word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
denazification,2,1,0.1,2,0,0,0
prussian,2,2,0.1,2,0,0,0
alienation,2,2,0.1,1,1,0,0
usual,2,2,0.1,1,0,0,1
retro,2,1,0.1,2,0,0,0
archaeological,2,2,0.1,2,0,0,0
suspect,2,2,0.1,1,1,0,0
rewrite,2,2,0.1,1,1,0,0
extracurricular,2,2,0.1,1,0,0,1
consolidate,2,2,0.1,1,0,0,1
incur,2,2,0.1,1,0,0,1
infringement,2,2,0.1,1,1,0,0
authorization,2,2,0.1,1,0,0,1
1940,2,2,0.1,2,0,0,0
rumor,2,2,0.1,1,0,0,1
predate,2,2,0.1,2,0,0,0
formalization,2,2,0.1,2,0,0,0
merge,2,2,0.1,1,0,0,1
manufacture,2,2,0.1,2,0,0,0
classifying,2,2,0.1,2,0,0,0
trope,2,2,0.1,2,0,0,0
typify,2,2,0.1,1,1,0,0
barthe,2,2,0.1,2,0,0,0
humanistic,2,1,0.1,2,0,0,0
sharp,2,2,0.1,2,0,0,0
therapeutic,2,2,0.1,2,0,0,0
latour,2,2,0.1,1,1,0,0
spite,2,2,0.1,1,0,1,0
postmodernity,2,2,0.1,1,1,0,0
fascinating,2,2,0.1,1,1,0,0
prosecutor,2,2,0.1,1,0,1,0
rome,2,2,0.1,1,1,0,0
italo,2,1,0.1,2,0,0,0
argentine,2,2,0.1,2,0,0,0
museological,2,2,0.1,1,1,0,0
othering,2,1,0.1,2,0,0,0
yaddo,2,1,0.1,2,0,0,0
composer,2,2,0.1,1,0,0,1
strange,2,2,0.1,1,0,0,1
withdrawal,2,2,0.1,1,0,0,1
foreseeable,2,2,0.1,2,0,0,0
excavate,2,2,0.1,2,0,0,0
enslaved,2,2,0.1,1,0,0,1
celebration,2,2,0.1,1,0,1,0
yol,2,1,0.1,2,0,0,0
arnhem,2,1,0.1,2,0,0,0
mediator,2,2,0.1,2,0,0,0
recast,2,2,0.1,2,0,0,0
thirteenth,2,2,0.1,2,0,0,0
reposition,2,2,0.1,2,0,0,0
dissolution,2,2,0.1,1,0,0,1
monastery,2,2,0.1,1,0,0,1
dispersal,2,2,0.1,2,0,0,0
reign,2,2,0.1,2,0,0,0
salisbury,2,2,0.1,2,0,0,0
patronage,2,2,0.1,2,0,0,0
stabilize,2,2,0.1,2,0,0,0
reify,2,2,0.1,2,0,0,0
arcs,2,2,0.1,1,0,0,1
misplace,2,2,0.1,1,0,1,0
maze,2,2,0.1,1,1,0,0
chronological,2,2,0.1,1,1,0,0
conquista,2,1,0.1,2,0,0,0
lockable,2,2,0.1,1,0,1,0
evaluates,2,2,0.1,1,0,0,1
chronicler,2,2,0.1,1,1,0,0
clerical,2,1,0.1,2,0,0,0
principality,2,2,0.1,2,0,0,0
confessional,2,1,0.1,2,0,0,0
separation,2,2,0.1,1,0,1,0
guidepost,2,2,0.1,2,0,0,0
gaze,2,2,0.1,1,1,0,0
preserving,2,2,0.1,1,0,1,0
construe,2,2,0.1,1,0,0,1
neighbouring,2,2,0.1,2,0,0,0
consequent,2,2,0.1,1,0,1,0
divergent,2,2,0.1,1,0,0,1
fiduciary,2,2,0.1,1,0,1,0
catalyst,2,2,0.1,1,0,0,1
cambodian,2,2,0.1,2,0,0,0
unheard,2,2,0.1,1,1,0,0
los,2,2,0.1,1,0,0,1
angeles,2,2,0.1,1,0,0,1
earn,2,2,0.1,1,0,0,1
cyber,2,2,0.1,2,0,0,0
alex,2,2,0.1,1,0,0,1
attenuate,2,2,0.1,1,1,0,0
expend,2,2,0.1,1,1,0,0
printing,2,2,0.1,1,1,0,0
internship,2,2,0.1,1,0,1,0
wwii,2,2,0.1,2,0,0,0
father,2,2,0.1,2,0,0,0
parliament,2,2,0.1,2,0,0,0
arbor,2,2,0.1,1,0,0,1
overturn,2,2,0.1,1,1,0,0
murder,2,2,0.1,1,1,0,0
unanticipated,2,2,0.1,2,0,0,0
unpredictable,2,2,0.1,1,1,0,0
familial,2,2,0.1,2,0,0,0
barack,2,2,0.1,1,0,0,1
ill,2,2,0.1,1,0,0,1
plague,2,2,0.1,1,0,0,1
contemporaneous,2,2,0.1,1,0,0,1
confound,2,2,0.1,1,0,1,0
intertextual,2,2,0.1,2,0,0,0
reminder,2,2,0.1,2,0,0,0
bearer,2,2,0.1,2,0,0,0
regularity,2,2,0.1,1,1,0,0
nuanced,2,2,0.1,2,0,0,0
diploma,2,2,0.1,1,0,1,0
memoranda,2,2,0.1,1,0,0,1
fellowship,2,2,0.1,1,0,0,1
proteomecommon,2,1,0.1,2,0,0,0
sociopolitical,2,2,0.1,2,0,0,0
timbuktu,2,1,0.1,2,0,0,0
strait,2,1,0.1,2,0,0,0
histories,2,2,0.1,1,0,0,1
warn,2,2,0.1,2,0,0,0
authorize,2,2,0.1,1,0,0,1
relocation,2,2,0.1,2,0,0,0
elevation,2,2,0.1,1,1,0,0
antigua,2,1,0.1,2,0,0,0
factual,2,2,0.1,1,1,0,0
paperless,2,2,0.1,1,0,1,0
green,2,2,0.1,1,0,1,0
religion,2,2,0.1,2,0,0,0
energetic,2,2,0.1,1,0,0,1
while,2,2,0.1,2,0,0,0
universality,2,2,0.1,1,1,0,0
overload,2,2,0.1,1,0,1,0
scepticism,2,2,0.1,1,1,0,0
signify,2,2,0.1,1,0,1,0
unambiguous,2,2,0.1,1,0,1,0
sculpture,2,1,0.1,2,0,0,0
distorted,2,2,0.1,1,0,0,1
oppressive,2,2,0.1,1,0,0,1
appraiser,2,2,0.1,2,0,0,0
gate,2,2,0.1,1,1,0,0
manhyia,2,1,0.1,2,0,0,0
ticket,2,2,0.1,1,0,1,0
ghanaian,2,2,0.1,1,0,1,0
proto,2,2,0.1,2,0,0,0
authenticating,2,2,0.1,1,0,0,1
prime,2,2,0.1,1,0,1,0
lavender,2,2,0.1,1,0,0,1
sacramento,2,2,0.1,1,0,0,1
painful,2,2,0.1,2,0,0,0
pit,2,2,0.1,1,1,0,0
reckon,2,2,0.1,2,0,0,0
prosecution,2,2,0.1,2,0,0,0
wind,2,2,0.1,1,0,1,0
balkan,2,2,0.1,2,0,0,0
discredit,2,2,0.1,1,0,0,1
violator,2,1,0.1,2,0,0,0
shooting,2,1,0.1,2,0,0,0
katrina,2,1,0.1,2,0,0,0
complaint,2,2,0.1,1,1,0,0
prevention,2,2,0.1,1,0,0,1
marriage,2,2,0.1,2,0,0,0
yugoslav,2,2,0.1,2,0,0,0
traumatize,2,2,0.1,2,0,0,0
reassert,2,2,0.1,1,1,0,0
crosscut,2,2,0.1,2,0,0,0
der,2,1,0.1,2,0,0,0
voort,2,1,0.1,2,0,0,0
portrait,2,1,0.1,2,0,0,0
prop,2,2,0.1,1,0,0,1
loom,2,2,0.1,1,1,0,0
golden,2,2,0.1,1,0,1,0
leading,2,2,0.1,1,0,1,0
harare,2,2,0.1,2,0,0,0
activeness,2,2,0.1,1,0,1,0
dictatorship,2,2,0.1,2,0,0,0
uncontrolled,2,2,0.1,2,0,0,0
tagging,2,2,0.1,1,0,0,1
zoologist,2,1,0.1,2,0,0,0
sceptical,2,2,0.1,1,0,1,0
preforma,2,1,0.1,2,0,0,0
alabama,2,2,0.1,1,0,0,1
interference,2,2,0.1,1,0,1,0
identifie,2,2,0.1,1,0,1,0
summit,2,2,0.1,1,0,1,0
vehicle,2,2,0.1,1,0,0,1
estonian,2,1,0.1,2,0,0,0
uam,2,1,0.1,2,0,0,0
tissue,2,1,0.1,2,0,0,0
visualization,2,2,0.1,1,0,0,1
composite,2,2,0.1,1,0,1,0
surrogacy,2,1,0.1,2,0,0,0
fluid,2,2,0.1,1,0,1,0
ingestion,2,2,0.1,1,1,0,0
curatorship,2,2,0.1,2,0,0,0
pervasiveness,2,2,0.1,1,1,0,0
confusing,2,2,0.1,2,0,0,0
retired,2,2,0.1,2,0,0,0
ron,2,2,0.1,1,0,0,1
unsustainable,2,2,0.1,1,0,0,1
unsafe,2,2,0.1,2,0,0,0
jewry,2,2,0.1,2,0,0,0
berlin,2,2,0.1,1,0,0,1
materialism,2,2,0.1,1,1,0,0
mislead,2,2,0.1,1,0,1,0
undecidable,2,1,0.1,2,0,0,0
freud,2,2,0.1,2,0,0,0
politicize,2,2,0.1,2,0,0,0
absolve,2,2,0.1,1,1,0,0
nvivo8,2,2,0.1,2,0,0,0
namibian,2,1,0.1,2,0,0,0
divorce,2,2,0.1,1,0,1,0
deceased,2,2,0.1,1,1,0,0
annal,2,2,0.1,1,1,0,0
replete,2,2,0.1,2,0,0,0
unattainable,2,2,0.1,1,1,0,0
counterbalance,2,2,0.1,1,0,0,1
aspirational,2,2,0.1,1,1,0,0
ketelaar,2,2,0.1,1,1,0,0
institutionalisation,2,2,0.1,1,0,1,0
manifold,2,2,0.1,1,1,0,0
inaccuracy,2,2,0.1,2,0,0,0
gendered,2,2,0.1,1,1,0,0
cvetkovich,2,1,0.1,2,0,0,0
ahmed,2,1,0.1,2,0,0,0
berlant,2,1,0.1,2,0,0,0
webs,2,2,0.1,1,1,0,0
attachment,2,2,0.1,2,0,0,0
recreation,2,2,0.1,2,0,0,0
vignette,2,2,0.1,1,1,0,0
transgend,2,2,0.1,1,1,0,0
multimodal,2,2,0.1,1,1,0,0
smell,2,2,0.1,1,0,0,1
machinery,2,1,0.1,2,0,0,0
mid-,2,2,0.1,1,1,0,0
historypin,2,1,0.1,2,0,0,0
democratisation,2,2,0.1,2,0,0,0
disenfranchisement,2,2,0.1,2,0,0,0
haven,2,2,0.1,1,1,0,0
shepherd,2,1,0.1,2,0,0,0
biographical,2,2,0.1,1,0,1,0
connotation,2,1,0.1,2,0,0,0
repercussion,2,2,0.1,1,0,0,1
mummy,2,1,0.1,2,0,0,0
containment,2,2,0.1,1,0,1,0
alienate,2,2,0.1,1,1,0,0
guatemala,2,1,0.1,2,0,0,0
height,2,2,0.1,1,0,0,1
disintegrate,2,2,0.1,2,0,0,0
revival,2,2,0.1,1,0,0,1
plant,2,2,0.1,1,0,1,0
auto,2,2,0.1,2,0,0,0
fieldnote,2,2,0.1,2,0,0,0
undervalue,2,2,0.1,1,0,1,0
merchant,2,1,0.1,2,0,0,0
plantation,2,2,0.1,2,0,0,0
seigniory,2,2,0.1,1,1,0,0
methodologically,2,2,0.1,1,0,1,0
sideline,2,2,0.1,1,0,1,0
ufh,2,1,0.1,2,0,0,0
misfile,2,2,0.1,1,0,1,0
unusable,2,2,0.1,2,0,0,0
emanating,2,2,0.1,1,0,1,0
institutes,2,2,0.1,1,0,0,1
yearly,2,2,0.1,2,0,0,0
stipulate,2,2,0.1,1,1,0,0
kafer,2,1,0.1,2,0,0,0
corresponding,2,2,0.1,1,1,0,0
radicalize,2,2,0.1,1,1,0,0
customization,2,1,0.1,2,0,0,0
lift,2,2,0.1,1,1,0,0
inhabit,2,2,0.1,1,0,0,1
strip,2,2,0.1,1,1,0,0
oversimplify,2,2,0.1,1,1,0,0
shaw,2,1,0.1,2,0,0,0
jumping,2,2,0.1,1,0,0,1
offence,2,2,0.1,1,1,0,0
practicable,2,2,0.1,1,0,1,0
denote,2,2,0.1,1,0,0,1
tenuous,2,2,0.1,1,0,0,1
tale,2,2,0.1,1,0,0,1
tuol,2,1,0.1,2,0,0,0
sleng,2,1,0.1,2,0,0,0
uncatalogued,2,2,0.1,1,1,0,0
retrace,2,2,0.1,1,1,0,0
decolonized,2,2,0.1,2,0,0,0
wellbee,2,2,0.1,2,0,0,0
petitioning,2,1,0.1,2,0,0,0
undisclosed,2,2,0.1,1,1,0,0
permeate,2,2,0.1,2,0,0,0
predetermine,2,2,0.1,1,0,1,0
formulating,2,2,0.1,1,0,1,0
diasporic,2,2,0.1,1,0,0,1
dancer,2,2,0.1,2,0,0,0
katherine,2,2,0.1,1,0,0,1
codification,2,2,0.1,1,1,0,0
gestural,2,1,0.1,2,0,0,0
remediate,2,2,0.1,1,1,0,0
withdraw,2,2,0.1,1,0,1,0
marika,2,2,0.1,1,1,0,0
theorisation,2,2,0.1,2,0,0,0
sale,2,2,0.1,1,0,1,0
usvi,2,1,0.1,2,0,0,0
innocent,2,2,0.1,1,1,0,0
reorientation,2,2,0.1,1,0,1,0
realign,2,2,0.1,1,0,1,0
cataloging,2,2,0.1,1,0,0,1
arc,2,2,0.1,1,0,0,1
benign,2,2,0.1,1,1,0,0
intricate,2,2,0.1,2,0,0,0
surpass,2,2,0.1,1,0,0,1
conserve,2,2,0.1,1,0,1,0
consejo,2,1,0.1,2,0,0,0
monarchy,2,1,0.1,2,0,0,0
anonymous,2,2,0.1,1,1,0,0
sci,2,2,0.1,2,0,0,0
https,2,2,0.1,1,0,0,1
inflexible,2,2,0.1,1,0,1,0
reasonable,2,2,0.1,1,1,0,0
reusable,2,2,0.1,1,0,1,0
decolonization,2,2,0.1,1,0,0,1
linger,2,2,0.1,2,0,0,0
elimination,2,2,0.1,1,0,1,0
orcid,2,1,0.1,2,0,0,0
ids,2,1,0.1,2,0,0,0
adam,2,2,0.1,1,0,0,1
api,2,2,0.1,1,0,0,1
vector,2,2,0.1,1,0,1,0
continual,2,2,0.1,1,1,0,0
innocence,2,2,0.1,1,1,0,0
dxe,2,1,0.1,2,0,0,0
czech,2,2,0.1,2,0,0,0
contour,2,2,0.1,2,0,0,0
gradual,2,2,0.1,1,1,0,0
dagbamba,2,1,0.1,2,0,0,0
booklet,2,2,0.1,2,0,0,0
rival,2,2,0.1,1,0,1,0
preferable,2,2,0.1,1,0,0,1
spell,2,2,0.1,1,1,0,0
unmet,2,2,0.1,1,1,0,0
emancipatory,2,1,0.1,2,0,0,0
misunderstood,2,2,0.1,2,0,0,0
reframing,2,2,0.1,1,1,0,0
phenomenology,2,2,0.1,1,0,1,0
existential,2,1,0.1,2,0,0,0
2000,2,2,0.1,1,0,1,0
geology,2,2,0.1,2,0,0,0
sediment,2,2,0.1,1,1,0,0
tariqa,2,1,0.1,2,0,0,0
sufism,2,1,0.1,2,0,0,0
lineage,2,2,0.1,2,0,0,0
bedrock,2,2,0.1,1,0,0,1
webpage,2,2,0.1,2,0,0,0
coexist,2,2,0.1,2,0,0,0
latin,2,1,0.1,2,0,0,0
iberian,2,2,0.1,1,0,1,0
arrival,2,2,0.1,1,1,0,0
ibero,2,2,0.1,1,0,1,0
folkloric,2,2,0.1,1,1,0,0
unsettling,2,2,0.1,2,0,0,0
empathic,2,1,0.1,2,0,0,0
photocopy,2,2,0.1,1,0,1,0
occasional,2,2,0.1,1,1,0,0
mature,2,2,0.1,2,0,0,0
tenured,2,2,0.1,1,0,0,1
cataloguing,2,1,0.1,2,0,0,0
unintended,2,2,0.1,1,0,0,1
entrust,2,2,0.1,1,0,1,0
categorisation,2,2,0.1,2,0,0,0
unlock,2,2,0.1,2,0,0,0
tutorial,2,2,0.1,1,1,0,0
utilisation,2,2,0.1,1,0,1,0
bartliff,2,1,0.1,2,0,0,0
mapp,2,1,0.1,2,0,0,0
collide,2,2,0.1,1,0,0,1
dominican,2,2,0.1,1,1,0,0
enslavement,2,2,0.1,2,0,0,0
exert,2,2,0.1,1,0,0,1
post-,2,2,0.1,1,0,0,1
unfortunate,2,2,0.1,1,1,0,0
masse,2,2,0.1,1,1,0,0
aragon,2,1,0.1,2,0,0,0
king,2,2,0.1,1,0,1,0
lexicon,2,1,0.1,2,0,0,0
skeptical,2,2,0.1,1,1,0,0
mainstay,2,2,0.1,1,0,0,1
potentiality,2,2,0.1,1,1,0,0
interactional,2,2,0.1,2,0,0,0
futile,2,2,0.1,1,0,1,0
arts,2,2,0.1,1,0,1,0
eminent,2,2,0.1,1,1,0,0
lismore,2,1,0.1,2,0,0,0
weather,2,2,0.1,1,0,1,0
giant,2,2,0.1,1,1,0,0
unifying,2,2,0.1,1,0,0,1
strengthening,2,2,0.1,1,0,1,0
walkthrough,2,2,0.1,1,0,1,0
resort,2,2,0.1,1,1,0,0
legible,2,2,0.1,1,1,0,0
mobilise,2,2,0.1,2,0,0,0
dundo,2,1,0.1,2,0,0,0
barros,2,1,0.1,2,0,0,0
machado,2,1,0.1,2,0,0,0
diamond,2,2,0.1,1,1,0,0
flight,2,2,0.1,1,0,1,0
homeland,2,2,0.1,2,0,0,0
purport,2,2,0.1,1,0,1,0
apr,2,1,0.1,2,0,0,0
dock,2,1,0.1,2,0,0,0
salonikian,2,1,0.1,2,0,0,0
buffet,2,2,0.1,1,0,0,1
jazz,2,2,0.1,1,0,0,1
afc,2,1,0.1,2,0,0,0
thrive,2,2,0.1,1,0,1,0
ussr,2,2,0.1,1,1,0,0
fabulation,2,1,0.1,2,0,0,0
chaudhuri,2,1,0.1,2,0,0,0
-based,2,2,0.1,1,0,0,1
misleading,2,2,0.1,1,1,0,0
atlanta,2,2,0.1,1,1,0,0
duke,2,2,0.1,1,1,0,0
disentangle,2,2,0.1,1,1,0,0
rican,2,2,0.1,1,0,0,1
regulated,2,2,0.1,1,0,1,0
statehood,2,1,0.1,2,0,0,0
hegemony,2,1,0.1,2,0,0,0
ratio,2,2,0.1,1,0,1,0
insufficiency,2,2,0.1,1,0,1,0
inappropriateness,2,2,0.1,2,0,0,0
título,2,1,0.1,2,0,0,0
territorialidad,2,1,0.1,2,0,0,0
unsettle,2,2,0.1,1,1,0,0
breathe,2,2,0.1,1,1,0,0
chris,2,2,0.1,1,1,0,0
tom,2,2,0.1,1,1,0,0
nesmith,2,2,0.1,1,1,0,0
bastian,2,2,0.1,2,0,0,0
edsa,2,1,0.1,2,0,0,0
simultaneous,2,2,0.1,1,1,0,0
designing,2,2,0.1,1,1,0,0
southeast,2,2,0.1,1,0,0,1
kinship,2,2,0.1,2,0,0,0
discard,2,2,0.1,1,0,1,0
reassessment,2,2,0.1,1,1,0,0
hearing,2,2,0.1,2,0,0,0
désert,2,1,0.1,2,0,0,0
reexamine,2,2,0.1,1,0,0,1
strand,2,1,0.1,2,0,0,0
ibn,2,1,0.1,2,0,0,0
toumert,2,1,0.1,2,0,0,0
fundamentalism,2,1,0.1,2,0,0,0
logocentrism,2,1,0.1,2,0,0,0
essentialist,2,2,0.1,1,1,0,0
grammatology,2,1,0.1,2,0,0,0
missionary,2,2,0.1,1,1,0,0
slv,2,1,0.1,2,0,0,0
microfilm,2,2,0.1,1,1,0,0
gallery,2,2,0.1,1,1,0,0
glam,2,1,0.1,2,0,0,0
inquire,2,2,0.1,1,0,1,0
mmrd,2,1,0.1,2,0,0,0
authoritarian,2,2,0.1,1,0,0,1
atacama,2,1,0.1,2,0,0,0
prisoner,2,2,0.1,1,1,0,0
earth,2,2,0.1,2,0,0,0
wholesale,2,2,0.1,1,1,0,0
jenkinsonian,2,2,0.1,1,0,0,1
annotated,2,2,0.1,1,0,0,1
ernest,2,2,0.1,1,1,0,0
specimen,2,2,0.1,1,0,0,1
are,2,2,0.1,1,1,0,0
stipulation,2,2,0.1,1,0,0,1
advisor,2,2,0.1,1,0,1,0
homeowner,2,1,0.1,2,0,0,0
guardian,2,2,0.1,1,0,1,0
conquest,2,2,0.1,2,0,0,0
suppression,2,2,0.1,1,0,1,0
pride,2,2,0.1,2,0,0,0
sufficiency,2,2,0.1,2,0,0,0
rewarding,2,2,0.1,1,0,0,1
unify,2,2,0.1,1,0,1,0
safeguarding,2,2,0.1,1,1,0,0
veterinary,2,1,0.1,2,0,0,0
presidency,2,2,0.1,1,0,0,1
nationality,2,2,0.1,1,0,1,0
hellenic,2,1,0.1,2,0,0,0
transference,2,1,0.1,2,0,0,0
envisioning,2,2,0.1,1,0,0,1
suspend,2,2,0.1,1,0,1,0
differential,2,2,0.1,1,0,1,0
annotate,2,2,0.1,1,0,0,1
gonçalo,2,1,0.1,2,0,0,0
ribeiro,2,1,0.1,2,0,0,0
quote,2,2,0.1,1,0,0,1
void,2,2,0.1,1,0,0,1
mari,2,1,0.1,2,0,0,0
entrenchment,2,2,0.1,1,1,0,0
poetic,2,2,0.1,1,1,0,0
supplant,2,2,0.1,1,1,0,0
engaging,2,2,0.1,1,1,0,0
alaskan,2,1,0.1,2,0,0,0
mhhp,2,1,0.1,2,0,0,0
oregon,2,2,0.1,1,1,0,0
deontic,2,1,0.1,2,0,0,0
modality,2,1,0.1,2,0,0,0
clarity,2,2,0.1,1,0,0,1
timeline,2,2,0.1,1,0,1,0
protagonist,2,2,0.1,1,0,0,1
depart,2,2,0.1,1,0,0,1
conquer,2,2,0.1,1,1,0,0
battle,2,2,0.1,1,0,0,1
loot,2,2,0.1,2,0,0,0
omani,2,1,0.1,2,0,0,0
skilled,2,2,0.1,1,0,0,1
bsac,2,1,0.1,2,0,0,0
incredible,2,2,0.1,1,0,1,0
fighting,2,1,0.1,2,0,0,0
expansive,2,2,0.1,2,0,0,0
bullet,2,2,0.1,1,0,1,0
bomb,2,2,0.1,1,1,0,0
sanction,2,2,0.1,1,1,0,0
briarpatch,2,1,0.1,2,0,0,0
cruz,2,2,0.1,1,0,0,1
dili,2,1,0.1,2,0,0,0
red,2,2,0.1,1,0,1,0
rebuild,2,2,0.1,1,1,0,0
centralisation,2,2,0.1,1,0,1,0
dislocation,2,1,0.1,2,0,0,0
supranational,2,2,0.1,1,1,0,0
baltic,2,2,0.1,1,0,1,0
con,2,2,0.1,1,1,0,0
ineffective,2,2,0.1,1,0,0,1
typewritten,2,2,0.1,1,0,0,1
mamluk,2,1,0.1,2,0,0,0
reorganise,2,2,0.1,1,0,1,0
durée,2,2,0.1,1,0,0,1
genuineness,2,2,0.1,1,0,1,0
jump,2,2,0.1,1,0,1,0
expressive,2,2,0.1,1,1,0,0
invasive,2,2,0.1,1,0,1,0
yolov9,2,1,0.1,2,0,0,0
facial,2,1,0.1,2,0,0,0
bird,2,1,0.1,2,0,0,0
peak,2,1,0.1,2,0,0,0
explosion,2,2,0.1,1,1,0,0
rider,2,1,0.1,2,0,0,0
dozen,2,2,0.1,1,1,0,0
siloe,2,2,0.1,1,0,0,1
enrol,2,2,0.1,1,0,0,1
tuareg,2,1,0.1,2,0,0,0
odd,2,2,0.1,1,0,1,0
identifier,2,2,0.1,1,0,1,0
praxi,2,2,0.1,1,1,0,0
spotlight,2,2,0.1,1,0,1,0
theorise,2,2,0.1,1,0,1,0
differentiate,2,2,0.1,1,0,1,0
flourish,2,2,0.1,1,0,0,1
proxy,2,1,0.1,2,0,0,0
tree,2,2,0.1,1,1,0,0
nontraditional,2,2,0.1,1,0,0,1
del,2,1,0.1,2,0,0,0
paro,2,1,0.1,2,0,0,0
28a,2,1,0.1,2,0,0,0
mobilization,2,2,0.1,1,1,0,0
outburst,2,1,0.1,2,0,0,0
unequal,2,2,0.1,1,0,0,1
buttress,2,2,0.1,1,0,1,0
preferred,2,2,0.1,1,0,0,1
palestinians,2,1,0.1,2,0,0,0
terrain,2,2,0.1,1,0,0,1
spark,2,2,0.1,1,0,0,1
articulating,2,2,0.1,1,0,1,0
triple,2,2,0.1,1,0,1,0
isolate,2,2,0.1,1,0,1,0
categorical,2,2,0.1,1,1,0,0
bedouin,2,1,0.1,2,0,0,0
popularize,2,2,0.1,1,0,0,1
sholto,2,1,0.1,0,2,0,0
goc,2,1,0.1,0,2,0,0
cache,2,2,0.1,0,1,0,1
acclaim,2,2,0.1,0,1,0,1
susceptible,2,2,0.1,0,1,0,1
firsthand,2,2,0.1,0,1,0,1
rimington,2,1,0.1,0,2,0,0
mi5,2,1,0.1,0,2,0,0
aldrich,2,1,0.1,0,2,0,0
peter,2,2,0.1,0,1,0,1
imagery,2,1,0.1,0,2,0,0
unresolved,2,2,0.1,0,1,0,1
bodleian,2,1,0.1,0,2,0,0
physics,2,2,0.1,0,1,0,1
aip,2,1,0.1,0,2,0,0
puzzle,2,2,0.1,0,1,0,1
offset,2,2,0.1,0,1,1,0
instruct,2,2,0.1,0,1,0,1
saskatchewan,2,2,0.1,0,2,0,0
donald,2,2,0.1,0,2,0,0
substance,2,2,0.1,0,2,0,0
chill,2,2,0.1,0,2,0,0
deportation,2,2,0.1,0,2,0,0
peripheral,2,2,0.1,0,1,1,0
unwillingness,2,2,0.1,0,1,1,0
commissioner,2,2,0.1,0,1,0,1
venture,2,2,0.1,0,2,0,0
credible,2,2,0.1,0,1,1,0
substantiate,2,2,0.1,0,2,0,0
allege,2,2,0.1,0,1,0,1
import,2,2,0.1,0,1,1,0
maryknoll,2,1,0.1,0,2,0,0
flung,2,2,0.1,0,1,0,1
mid-1980,2,2,0.1,0,2,0,0
optical,2,2,0.1,0,1,0,1
numerical,2,2,0.1,0,1,0,1
synergistic,2,2,0.1,0,1,1,0
briefly,2,2,0.1,0,1,1,0
kaye,2,2,0.1,0,1,0,1
escape,2,2,0.1,0,2,0,0
papacy,2,2,0.1,0,1,0,1
canonization,2,1,0.1,0,2,0,0
anq,2,1,0.1,0,2,0,0
reluctant,2,2,0.1,0,2,0,0
prejudice,2,2,0.1,0,2,0,0
footnote,2,2,0.1,0,1,0,1
pertinence,2,2,0.1,0,2,0,0
padua,2,1,0.1,0,2,0,0
malleability,2,2,0.1,0,1,0,1
centring,2,1,0.1,0,2,0,0
colonize,2,2,0.1,0,2,0,0
tcwg,2,1,0.1,0,2,0,0
spending,2,2,0.1,0,1,1,0
depression,2,2,0.1,0,2,0,0
disjuncture,2,2,0.1,0,1,1,0
racialize,2,2,0.1,0,1,0,1
concentration,2,2,0.1,0,1,1,0
pin,2,2,0.1,0,2,0,0
charlotte,2,2,0.1,0,2,0,0
bibliothèque,2,2,0.1,0,1,1,0
scott,2,2,0.1,0,1,0,1
malicious,2,2,0.1,0,1,1,0
prestigious,2,2,0.1,0,1,0,1
helical,2,1,0.1,0,2,0,0
companion,2,2,0.1,0,1,0,1
tourism,2,2,0.1,0,1,1,0
tourist,2,2,0.1,0,1,0,1
finish,2,2,0.1,0,1,0,1
nova,2,2,0.1,0,2,0,0
scotia,2,2,0.1,0,2,0,0
distract,2,2,0.1,0,1,0,1
discrepancy,2,2,0.1,0,2,0,0
weaken,2,2,0.1,0,1,0,1
amanda,2,2,0.1,0,1,0,1
exclusivity,2,2,0.1,0,1,0,1
our,2,2,0.1,0,1,0,1
penitentiary,2,1,0.1,0,2,0,0
profitable,2,2,0.1,0,1,0,1
rocky,2,1,0.1,0,2,0,0
exact,2,2,0.1,0,1,0,1
casual,2,2,0.1,0,1,0,1
lupson,2,1,0.1,0,2,0,0
renegotiate,2,2,0.1,0,2,0,0
haunt,2,2,0.1,0,2,0,0
beauregard,2,1,0.1,0,2,0,0
fine,2,2,0.1,0,1,1,0
novosti,2,1,0.1,0,2,0,0
carleton,2,1,0.1,0,2,0,0
apn,2,1,0.1,0,2,0,0
shop,2,2,0.1,0,1,0,1
comfortable,2,2,0.1,0,1,0,1
enduring,2,2,0.1,0,1,1,0
censor,2,1,0.1,0,2,0,0
mask,2,2,0.1,0,1,1,0
veracity,2,2,0.1,0,1,1,0
charney,2,1,0.1,0,2,0,0
hail,2,2,0.1,0,2,0,0
shtern,2,1,0.1,0,2,0,0
rukus,2,1,0.1,0,2,0,0
ajamu,2,1,0.1,0,2,0,0
topher,2,1,0.1,0,2,0,0
defer,2,2,0.1,0,1,0,1
recontextualize,2,2,0.1,0,2,0,0
panel,2,2,0.1,0,1,0,1
rcmp,2,2,0.1,0,2,0,0
publicity,2,2,0.1,0,1,1,0
liberty,2,1,0.1,0,2,0,0
magic,2,2,0.1,0,1,1,0
downtown,2,2,0.1,0,2,0,0
thin,2,2,0.1,0,2,0,0
slice,2,2,0.1,0,1,0,1
agq,2,1,0.1,0,2,0,0
diffusion,2,2,0.1,0,1,0,1
montgomery,2,2,0.1,0,1,0,1
marian,2,2,0.1,0,1,0,1
overshadow,2,2,0.1,0,1,1,0
lord,2,2,0.1,0,1,1,0
vague,2,2,0.1,0,1,1,0
redescribe,2,2,0.1,0,2,0,0
