word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
story,110,75,4.5,57,27,5,21
contemporary,110,95,5.7,50,33,13,14
available,110,97,5.8,28,26,33,23
department,110,77,4.6,13,19,61,17
effective,110,86,5.2,10,6,76,18
adopt,109,88,5.3,19,12,69,9
follow,108,102,6.1,36,13,43,16
mean,108,92,5.5,36,29,32,11
produce,108,99,5.9,44,27,25,12
organizational,108,72,4.3,12,12,69,15
object,107,63,3.8,40,36,13,18
narrative,107,79,4.7,52,26,5,24
play,107,92,5.5,48,23,20,16
united,107,90,5.4,25,19,6,57
solution,107,80,4.8,22,11,60,14
archiving,107,73,4.4,45,30,17,15
link,106,71,4.3,51,20,27,8
element,106,77,4.6,40,16,38,12
plan,106,76,4.6,21,5,57,23
response,106,92,5.5,27,21,36,22
shape,104,85,5.1,50,28,7,19
enable,104,97,5.8,28,23,40,13
indicate,104,94,5.6,19,6,50,29
bring,104,95,5.7,36,27,28,13
early,104,84,5.0,46,29,12,17
skill,104,71,4.3,19,8,40,37
documentary,103,82,4.9,36,28,20,19
begin,102,97,5.8,35,35,8,24
maintain,102,90,5.4,31,20,32,19
engage,102,93,5.6,40,22,16,24
authenticity,102,59,3.5,17,28,34,23
museum,102,57,3.4,54,22,7,19
legislation,102,59,3.5,9,13,75,5
write,101,87,5.2,40,30,13,18
search,101,58,3.5,24,7,25,45
image,100,62,3.7,18,34,6,42
several,100,92,5.5,29,23,25,23
know,100,84,5.0,41,22,26,11
interest,99,91,5.5,23,29,26,21
infrastructure,99,71,4.3,49,8,31,11
child,99,31,1.9,61,15,19,4
historian,98,63,3.8,34,33,5,26
representation,98,62,3.7,37,23,14,24
account,98,83,5.0,38,13,30,17
complex,98,88,5.3,28,19,28,23
learn,98,77,4.6,20,8,28,42
decade,97,91,5.5,34,28,8,27
attention,97,90,5.4,30,17,29,21
period,97,81,4.9,35,21,30,11
reference,96,72,4.3,29,13,26,28
define,95,81,4.9,33,11,36,15
oral,95,43,2.6,33,32,0,30
move,95,77,4.6,30,23,17,25
creator,95,76,4.6,37,36,8,14
outline,94,85,5.1,29,24,26,15
bear,94,50,3.0,17,19,25,33
introduce,94,87,5.2,26,19,33,16
collaboration,94,80,4.8,30,11,24,29
allow,93,82,4.9,22,23,26,22
war,93,53,3.2,35,36,1,21
gap,93,80,4.8,18,10,44,21
course,93,56,3.4,8,20,22,43
technical,92,64,3.8,32,4,40,16
scholar,92,77,4.6,44,16,7,25
select,92,77,4.6,22,7,52,11
privacy,92,50,3.0,33,14,28,17
expand,91,87,5.2,36,16,10,29
photograph,91,46,2.8,26,37,0,28
descriptive,90,63,3.8,22,14,23,31
essay,89,59,3.5,41,26,2,20
communication,89,70,4.2,40,11,26,12
physical,89,66,4.0,29,21,8,31
non,89,76,4.6,31,20,34,4
ethical,89,60,3.6,28,15,21,25
health,89,40,2.4,8,10,63,8
multiple,88,78,4.7,36,10,29,13
technique,88,66,4.0,26,7,41,14
great,88,84,5.0,22,16,27,23
measure,88,66,4.0,17,7,40,24
generate,87,69,4.1,19,11,40,17
stakeholder,87,65,3.9,24,3,53,7
special,87,73,4.4,17,19,8,43
integrate,86,71,4.3,18,15,34,19
self,86,67,4.0,36,28,8,14
modern,86,69,4.1,35,24,12,15
determine,86,78,4.7,15,13,32,26
procedure,86,69,4.1,11,8,50,17
transfer,86,41,2.5,22,10,53,1
investigation,86,60,3.6,19,11,48,8
range,86,82,4.9,33,15,22,16
perception,85,57,3.4,21,10,27,27
enhance,85,75,4.5,19,7,35,24
analyse,85,76,4.6,34,0,50,1
states,85,75,4.5,16,14,3,52
performance,84,46,2.8,20,5,48,11
consideration,84,75,4.5,28,13,30,13
curation,84,28,1.7,36,9,30,9
scientific,83,41,2.5,39,24,12,8
end,83,71,4.3,31,13,21,18
goal,83,76,4.6,21,19,14,29
adoption,83,53,3.2,12,9,49,13
raise,83,81,4.9,24,8,39,12
post,83,63,3.8,42,12,15,14
debate,83,70,4.2,29,20,22,12
functional,83,52,3.1,22,6,50,5
limited,83,77,4.6,14,4,53,12
format,83,59,3.5,24,10,26,23
meaning,82,64,3.8,37,33,4,8
recommendation,82,69,4.1,17,2,41,22
attempt,81,77,4.6,21,23,25,12
conceptual,80,66,4.0,31,16,20,13
definition,80,68,4.1,29,17,21,13
security,80,37,2.2,5,7,60,8
see,79,75,4.5,32,12,25,10
classification,79,43,2.6,21,9,43,6
same,79,70,4.2,25,12,29,13
iso,79,36,2.2,7,0,72,0
practitioner,79,63,3.8,18,11,42,8
family,79,42,2.5,45,24,1,9
compare,78,69,4.1,18,8,34,18
citizen,78,49,2.9,23,5,47,3
second,77,73,4.4,27,25,14,11
small,77,64,3.8,17,10,30,20
associate,77,71,4.3,20,12,28,17
site,77,53,3.2,26,15,14,22
publication,77,55,3.3,26,21,14,16
common,77,70,4.2,27,12,19,19
promote,77,68,4.1,16,8,23,30
useful,77,70,4.2,13,10,36,18
australia,76,55,3.3,32,16,26,2
trace,76,68,4.1,37,21,6,12
undertake,76,69,4.1,17,12,32,15
unique,76,69,4.1,14,12,27,23
event,76,55,3.3,33,14,9,20
evaluate,76,70,4.2,10,6,37,23
contribution,76,67,4.0,25,15,26,10
erm,76,19,1.1,3,0,72,1
foundation,75,70,4.2,24,15,20,16
achieve,75,66,4.0,16,9,42,8
processing,75,46,2.8,11,9,12,43
necessary,75,71,4.3,26,13,25,11
scholarship,75,60,3.6,28,17,3,27
software,75,57,3.4,17,9,30,19
most,75,68,4.1,16,12,27,20
extent,75,73,4.4,19,15,28,13
text,74,49,2.9,39,15,10,10
meet,74,65,3.9,15,6,43,10
position,74,55,3.3,26,12,25,11
construction,74,44,2.6,18,13,37,6
series,74,59,3.5,23,19,17,15
language,74,54,3.2,39,14,8,13
retention,74,37,2.2,4,1,61,8
blockchain,74,9,0.5,0,0,74,0
main,73,64,3.8,27,5,40,1
responsibility,73,58,3.5,24,12,27,10
much,73,72,4.3,23,14,19,17
sample,73,58,3.5,9,3,46,15
city,73,39,2.3,15,20,27,11
