journal,title,author,year,volume,issue,doi,abstract,abstract_clean,abstract_tokens
American Archivist,Analysis of remote reference correspondence at a large academic manuscripts collection,Martin K.E.,2001,64,1,10.17723/aarc.64.1.g224234uv117734p,"This paper analyzes 595 letter, phone, facsimile, and e-mail correspondence units sent to the Southern Historical Collection and General and Literary Manuscripts (SHC) at the University of North Carolina at Chapel Hill in 1995 and 1999, to observe the effects of providing online holdings information and the increased use of e-mail in reference correspondence. From 1995 to 1999, e-mail became the preferred method of inquiry, more questions came from casual users researching for personal reasons, more users took advantage of online holdings information to shape their reference questions, and the proportion of remote users visiting in person decreased. The paper concludes by suggesting ways for archivists to prepare for new influxes of remote researchers and methods to improve remote reference services.",this paper analyzes letter phone facsimile and e-mail correspondence units sent to the southern historical collection and general and literary manuscripts shc at the university of north carolina at chapel hill in and to observe the effects of providing online holdings information and the increased use of e-mail in reference correspondence from to e-mail became the preferred method of inquiry more questions came from casual users researching for personal reasons more users took advantage of online holdings information to shape their reference questions and the proportion of remote users visiting in person decreased the paper concludes by suggesting ways for archivists to prepare for new influxes of remote researchers and methods to improve remote reference services,paper analyze letter phone facsimile mail correspondence unit send southern historical collection general literary manuscript shc university north carolina chapel hill observe effect provide online holding information increase use mail reference correspondence mail become preferred method inquiry more question come casual user research personal reason more user take advantage online holding information shape reference question proportion remote user visit person decrease paper conclude suggest way archivist prepare new influx remote researcher method improve remote reference service
American Archivist,"Politics in the (Russian) archives: The ""objectivity question,"" trust, and the limitations of law",Rosenberg W.G.,2001,64,1,10.17723/aarc.64.1.9454828761277787,"Laws and archival regulations that assure open access to essential records and guarantee their preservation are essential to the ability of a free society to understand itself and assure freedom in the future. They represent a set of standards against which the administration of particular archives can be measured. The relationship of formal laws and regulations to actual archival practices is still a limited one, however. Because of this limited relationship, archivists and the scholars who use archival collections are involved in political contests with state authorities over who controls the information in an archives. The history of the archives of the U.S.S.R. and the states of the former Soviet Union exemplifies these conflicts and the necessity of adhering to professional ethical standards in the absence of legal regulation.",laws and archival regulations that assure open access to essential records and guarantee their preservation are essential to the ability of a free society to understand itself and assure freedom in the future they represent a set of standards against which the administration of particular archives can be measured the relationship of formal laws and regulations to actual archival practices is still a limited one however because of this limited relationship archivists and the scholars who use archival collections are involved in political contests with state authorities over who controls the information in an archives the history of the archives of the u s s r and the states of the former soviet union exemplifies these conflicts and the necessity of adhering to professional ethical standards in the absence of legal regulation,law archival regulation assure open access essential record guarantee preservation essential ability free society understand assure freedom future represent set standard administration particular archive measure relationship formal law regulation actual archival practice limited one limited relationship archivist scholar use archival collection involve political contest state authority control information archive history archive state former soviet union exemplify conflict necessity adhere professional ethical standard absence legal regulation
American Archivist,Voices from Vietnam: Building a collection from a controversial war,Stevens M.,2001,64,1,10.17723/aarc.64.1.13j34730404304n8,"The Voices from Vietnam Project at the State Historical Society of Wisconsin resulted in the creation of a substantial body of Vietnam War-era materials. The society acquired 137 collections from the state's Vietnam veterans as a result of a book publishing project. The article discusses obstacles in acquiring Vietnam War collections and ways of overcoming them. Issues include the relationships between donors and staff, the emotional value of the originals, and the importance of the media in project promotion. By providing potential donors with tangible evidence of how researchers use archival materials, the book project demonstrated to donors that their own writings were a part of history.",the voices from vietnam project at the state historical society of wisconsin resulted in the creation of a substantial body of vietnam war-era materials the society acquired collections from the state s vietnam veterans as a result of a book publishing project the article discusses obstacles in acquiring vietnam war collections and ways of overcoming them issues include the relationships between donors and staff the emotional value of the originals and the importance of the media in project promotion by providing potential donors with tangible evidence of how researchers use archival materials the book project demonstrated to donors that their own writings were a part of history,voice vietnam project state historical society wisconsin result creation substantial body vietnam war era material society acquire collection state vietnam veteran result book publishing project article discuss obstacle acquire vietnam war collection way overcome issue include relationship donor staff emotional value original importance medium project promotion provide potential donor tangible evidence researcher use archival material book project demonstrate donor own writing part history
American Archivist,The usability of on-line archival resources: The polaris project finding aid,Altman B.,2001,64,1,10.17723/aarc.64.1.80300272655rqu74,"This case study examines how the Florida State University Libraries' Claude Pepper Library planned the first phase of the Pepper OnLine Archival Retrieval and Information System (POLARIS) Project-the development of an on-line finding aid and search engine-to provide electronic access to its unique resources. It also demonstrates how the project staff studied the research usability of the Pepper Collection finding aid in the on-line environment. The identification of potential users, creation of a focus group based on a sampling of these users, and the compilation and analysis of focus group responses were important factors in planning the first phase, evaluating usability of the finding aid, and influencing the changes that the POLARIS Project team made.",this case study examines how the florida state university libraries claude pepper library planned the first phase of the pepper online archival retrieval and information system polaris project-the development of an on-line finding aid and search engine-to provide electronic access to its unique resources it also demonstrates how the project staff studied the research usability of the pepper collection finding aid in the on-line environment the identification of potential users creation of a focus group based on a sampling of these users and the compilation and analysis of focus group responses were important factors in planning the first phase evaluating usability of the finding aid and influencing the changes that the polaris project team made,case study examine florida state university librarie claude pepper library plan first phase pepper online archival retrieval information system polaris project development line finding aid search engine provide electronic access unique resource demonstrate project staff study research usability pepper collection find aid line environment identification potential user creation focus group base sampling user compilation analysis focus group response important factor plan first phase evaluate usability find aid influence change polaris project team make
American Archivist,Ten challenges for the archival profession,Hickerson H.T.,2001,64,1,10.17723/aarc.64.1.0rg6525nu1437v31,"The archival profession faces daunting challenges at the beginning of the twenty-first century. Ten of the most pressing challenges facing archivists are identified and described. They include: managing electronic documents, devoting more resources to non-textual materials, recognizing that records are global, devising new methods for description and access, expanding access and collection development priorities, generating more research on the archival aspects of information management, strengthening the Society of American Archivists, expanding the resources of the archival enterprise, and maintaining the profession's role as trusted guarantors of society's interests.",the archival profession faces daunting challenges at the beginning of the twenty-first century ten of the most pressing challenges facing archivists are identified and described they include managing electronic documents devoting more resources to non-textual materials recognizing that records are global devising new methods for description and access expanding access and collection development priorities generating more research on the archival aspects of information management strengthening the society of american archivists expanding the resources of the archival enterprise and maintaining the profession s role as trusted guarantors of society s interests,archival profession face daunting challenge beginning twenty first century pressing challenge face archivist identify describe include manage electronic document devote more resource non textual material recognize record global devise new method description access expand access collection development priority generate more research archival aspect information management strengthen society american archivist expand resource archival enterprise maintain profession role trust guarantor society interest
American Archivist,Finding finding aids on the world wide web,Tibbo H.,2001,64,1,10.17723/aarc.64.1.r655355304263464,"This study explored how well six popular Web search engines performed in retrieving specific electronic finding aids mounted on the World Wide Web. A random sample of on-line finding aids was selected and then searched using AltaVista, Excite, Fast Search, Google, Hotbot, and Northern Light, employing both word- and phrase-searching. As of February 2000, approximately 8 percent of repositories listed at the ""Repositories of Primary Resources"" web site had mounted at least four full finding aids on the Web. The most striking finding of this study was the importance of using phrase searches whenever possible, rather than word searches. Also of significance was the fact that if a finding aid were to be found using any search engine, it was generally found in the first ten or twenty items at most. The study identifies the best performers among the six chosen search engines. Combinations of search engines often produced much better results than did the search engines individually, evidence that there may be little overlap among the top hits provided by individual engines.",this study explored how well six popular web search engines performed in retrieving specific electronic finding aids mounted on the world wide web a random sample of on-line finding aids was selected and then searched using altavista excite fast search google hotbot and northern light employing both word- and phrase-searching as of february approximately percent of repositories listed at the repositories of primary resources web site had mounted at least four full finding aids on the web the most striking finding of this study was the importance of using phrase searches whenever possible rather than word searches also of significance was the fact that if a finding aid were to be found using any search engine it was generally found in the first ten or twenty items at most the study identifies the best performers among the six chosen search engines combinations of search engines often produced much better results than did the search engines individually evidence that there may be little overlap among the top hits provided by individual engines,study explore popular web search engine perform retrieve specific electronic finding aid mount world wide web random sample line finding aid select search use altavista excite fast search google hotbot northern light employ word- phrase searching february percent repository list repository primary resource web site mount full find aid web striking finding study importance use phrase search possible word search significance fact finding aid find use search engine find first item most study identify good performer choose search engine combination search engine produce well result search engine evidence little overlap top hit provide individual engine
American Archivist,The EAD cookbook: A survey and usability study,Prom C.,2002,65,2,10.17723/aarc.65.2.b3783jr052731588,"While EAD has been warmly embraced by larger archives and libraries, smaller institutions have hesitated to implement the standard. The EAD Cookbook was developed to encourage such acceptance. But does it provide an adequate tool to meet the archival profession's descriptive needs? This paper addresses the question by reporting the results of a survey of Cookbook users, reviewing literature related to the usability of archival on-line resources, and evaluating the usability and retrievability of EAD finding aids created by institutions responding to the survey. It includes specific usability recommendations and concludes with a recommended approach for further work to simplify EAD encoding and improve display.",while ead has been warmly embraced by larger archives and libraries smaller institutions have hesitated to implement the standard the ead cookbook was developed to encourage such acceptance but does it provide an adequate tool to meet the archival profession s descriptive needs this paper addresses the question by reporting the results of a survey of cookbook users reviewing literature related to the usability of archival on-line resources and evaluating the usability and retrievability of ead finding aids created by institutions responding to the survey it includes specific usability recommendations and concludes with a recommended approach for further work to simplify ead encoding and improve display,ead embrace large archive librarie small institution hesitate implement standard ead cookbook develop encourage such acceptance provide adequate tool meet archival profession descriptive need paper address question report result survey cookbook user review literature relate usability archival line resource evaluate usability retrievability ead find aid create institution respond survey include specific usability recommendation conclude recommend approach further work simplify ead encoding improve display
American Archivist,Colophons and annotations: New directions for the finding aid,Light M.,2002,65,2,10.17723/aarc.65.2.l3h27j5x8716586q,The authors argue that finding aids present only singular perspectives of the collections they describe and fail to represent the impact of archivists' work on records and subsequentreinterpretations of collections by archivists and researchers. The authors place these criticisms within the burgeoning postmodern discourse in archival studies and make two concrete suggestions for finding aids that would allow practicing archivists to acknowledge the inherent subjectivity of archival work and to incorporate multiple perspectives into the description of records.,the authors argue that finding aids present only singular perspectives of the collections they describe and fail to represent the impact of archivists work on records and subsequentreinterpretations of collections by archivists and researchers the authors place these criticisms within the burgeoning postmodern discourse in archival studies and make two concrete suggestions for finding aids that would allow practicing archivists to acknowledge the inherent subjectivity of archival work and to incorporate multiple perspectives into the description of records,author argue find aid present singular perspective collection describe fail represent impact archivist work record subsequentreinterpretation collection archivist researcher author place criticism burgeon postmodern discourse archival study make concrete suggestion find aid allow practice archivist acknowledge inherent subjectivity archival work incorporate multiple perspective description record
American Archivist,Testing our truths: Delineating the parameters of the authentic archival electronic record,Gilliland-Swetland A.J.,2002,65,2,10.17723/aarc.65.2.f036wp74710g1483,"Based on the work of the first phase of the International Research on Permanent Authentic Electronic Record Project (InterPARES 1), this paper argues that emerging considerations specific to electronic records necessitate that the archival community delineate mechanisms for establishing, maintaining, and certifying the authenticity of preserved and reference copies of electronic records. The paper reviews how the InterPARES 1 Project identified such mechanisms through the conduct of a series of case studies of electronic information and record-keeping systems. The paper places a discussion of the case study data collection, analysis, and outcomes in the context of the quest and rationale for effective methods and a research design that would allow InterPARES researchers to discern the parameters of the electronic record and what supports a presumption of its authenticity.",based on the work of the first phase of the international research on permanent authentic electronic record project interpares this paper argues that emerging considerations specific to electronic records necessitate that the archival community delineate mechanisms for establishing maintaining and certifying the authenticity of preserved and reference copies of electronic records the paper reviews how the interpares project identified such mechanisms through the conduct of a series of case studies of electronic information and record-keeping systems the paper places a discussion of the case study data collection analysis and outcomes in the context of the quest and rationale for effective methods and a research design that would allow interpares researchers to discern the parameters of the electronic record and what supports a presumption of its authenticity,base work first phase international research permanent authentic electronic record project interpare paper argue emerge consideration specific electronic record necessitate archival community delineate mechanism establish maintain certify authenticity preserve reference copy electronic record paper review interpare project identify such mechanism conduct series case study electronic information record keep system paper place discussion case study datum collection analysis outcome context quest rationale effective method research design allow interpare researcher discern parameter electronic record support presumption authenticity
American Archivist,Toward common content: An analysis of online college and university collecting policies,Marshall J.,2002,65,2,10.17723/aarc.65.2.d14g7x2615270j61,"Collecting policies have been advocated as tools to help archivists build stronger collections. The model proposed by Faye Phillips in 1984 is the most detailed framework for collecting policies in the archival literature. This paper presents the results of a pilot study of the collecting policies of college and university archives available online to investigate whether a consensus has been reached about the content of these documents. Future studies of this kind for other types of archives could facilitate the identification, refinement, and dissemination of professional best practice and standards for collecting policies.",collecting policies have been advocated as tools to help archivists build stronger collections the model proposed by faye phillips in is the most detailed framework for collecting policies in the archival literature this paper presents the results of a pilot study of the collecting policies of college and university archives available online to investigate whether a consensus has been reached about the content of these documents future studies of this kind for other types of archives could facilitate the identification refinement and dissemination of professional best practice and standards for collecting policies,collect policy advocate tool help archivist build strong collection model propose faye phillip detailed framework collect policy archival literature paper present result pilot study collect policy college university archive available investigate consensus reach content document future study kind other type archive facilitate identification refinement dissemination professional good practice standard collect policy
