Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
154;4700152734;"Journal of Hospital Librarianship";journal;"15323277, 15323269";"Routledge";No;No;0,235;Q3;15;44;103;638;58;78;0,48;14,50;72,37;0;6;United Kingdom;Western Europe;"Routledge";"2001-2025";"Library and Information Sciences (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Social Sciences"
155;21100237436;"Journal of Information and Knowledge Management";journal;"02196492, 17936926";"World Scientific";No;No;0,234;Q3;28;108;247;4994;373;243;1,65;46,24;38,98;0;35;Singapore;Asiatic Region;"World Scientific";"2002-2025";"Computer Networks and Communications (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
156;19700182210;"Library Leadership and Management";journal;"19458851, 1945886X";"American Library Association";No;No;0,234;Q3;14;20;43;442;27;36;0,63;22,10;67,74;0;3;United States;Northern America;"American Library Association";"2009-2024";"Library and Information Sciences (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
157;21101185486;"Documentation, Information and Knowledge";journal;"10032797";"Editorial Office of Documentation, Information and Knowledge";No;No;0,232;Q3;7;86;255;3618;191;250;0,79;42,07;46,15;0;24;China;Asiatic Region;"Editorial Office of Documentation, Information and Knowledge";"2019-2024";"Communication (Q3); Library and Information Sciences (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
158;19400157009;"Investigacion Bibliotecologica";journal;"0187358X";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,227;Q3;14;38;120;1130;55;120;0,56;29,74;49,18;0;7;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2008-2025";"Library and Information Sciences (Q3)";"Social Sciences"
159;21100259129;"Archives and Manuscripts";journal;"01576895, 21646058";"Australian Society of Archivists";No;No;0,224;Q3;15;13;39;225;37;31;0,50;17,31;68,42;0;0;Australia;Pacific Region;"Australian Society of Archivists";"2013-2024";"Communication (Q3); Library and Information Sciences (Q3)";"Social Sciences"
160;11500153514;"Revista Espanola de Documentacion Cientifica";journal;"02100614, 19884621";"CSIC Consejo Superior de Investigaciones Cientificas";Yes;Yes;0,220;Q3;23;32;90;1380;77;90;0,90;43,13;33,77;13;9;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1984, 2008-2024";"Library and Information Sciences (Q3)";"Social Sciences"
161;5400152654;"Journal of Access Services";journal;"15367967, 15367975";"Routledge";No;No;0,219;Q3;14;11;43;332;18;43;0,28;30,18;64,71;0;2;United States;Northern America;"Routledge";"2002-2024";"Library and Information Sciences (Q3)";"Social Sciences"
162;21101038721;"Data Analysis and Knowledge Discovery";journal;"20963467";"Chinese Academy of Sciences";No;No;0,218;Q3;12;153;457;5883;447;457;0,99;38,45;41,93;0;15;China;Asiatic Region;"Chinese Academy of Sciences";"2019-2024";"Library and Information Sciences (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
163;21100224425;"Informacion, Cultura y Sociedad";journal;"15148327, 18511740";"Universidad de Buenos Aires, Instituto de Investigaciones Bibliotecologicas";Yes;Yes;0,217;Q3;9;28;59;1159;24;56;0,33;41,39;59,18;0;8;Argentina;Latin America;"Universidad de Buenos Aires, Instituto de Investigaciones Bibliotecologicas";"2012-2024";"Library and Information Sciences (Q3)";"Social Sciences"
164;145292;"Development and Learning in Organizations";journal;"14777282";"Emerald Group Publishing Ltd.";No;No;0,212;Q3;22;112;245;395;187;225;0,88;3,53;41,58;0;32;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2025";"Library and Information Sciences (Q3); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
165;14773;"Information-Wissenschaft und Praxis";journal;"14344653, 16194292";"De Gruyter Saur";No;No;0,212;Q3;10;45;105;509;10;99;0,08;11,31;63,46;0;2;Germany;Western Europe;"De Gruyter Saur";"1997-2025";"Library and Information Sciences (Q3); Information Systems (Q4)";"Computer Science; Social Sciences"
166;21101248979;"Information studies: Theory and Application";journal;"10007490";"Information studies: Theory and Application";No;No;0,210;Q3;8;258;888;9005;499;888;0,64;34,90;47,67;0;46;China;Asiatic Region;"Information studies: Theory and Application";"2020-2025";"Library and Information Sciences (Q3)";"Social Sciences"
167;21100854118;"Wacana";journal;"14112272, 24076899";"Faculty of Humanities, University of Indonesia";Yes;Yes;0,209;Q3;7;24;91;1185;65;87;0,58;49,38;13,04;0;3;Indonesia;Asiatic Region;"Faculty of Humanities, University of Indonesia";"2015-2024";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Anthropology (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
168;7600153106;"Malaysian Journal of Library and Information Science";journal;"13946234";"Faculty of Computer Science and Information Technology";No;No;0,208;Q3;30;20;58;1269;47;58;0,80;63,45;47,62;0;5;Malaysia;Asiatic Region;"Faculty of Computer Science and Information Technology";"1996-2024";"Library and Information Sciences (Q3)";"Social Sciences"
169;19900191876;"Transinformacao";journal;"01033786";"Pontificia Universidade Catolica de Campinas";Yes;Yes;0,208;Q3;15;0;66;0;43;65;0,61;0,00;0,00;0;0;Brazil;Latin America;"Pontificia Universidade Catolica de Campinas";"2010-2023";"Museology (Q2); Communication (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
170;21100346235;"AIB Studi";journal;"22396152, 22809112";"Associazione Italiana Biblioteche";Yes;Yes;0,207;Q3;7;16;92;610;21;86;0,38;38,13;66,67;0;2;Italy;Western Europe;"Associazione Italiana Biblioteche";"2014-2024";"Library and Information Sciences (Q3)";"Social Sciences"
171;12085;"American Archivist";journal;"03609081";"Society of American Archivists";No;No;0,207;Q3;34;17;82;1130;23;73;0,33;66,47;85,29;0;3;United States;Northern America;"Society of American Archivists";"1938-2022";"Arts and Humanities (miscellaneous) (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
172;21100945719;"International Journal of Media and Information Literacy";journal;"2500106X";"Cherkas Global University Press";Yes;No;0,207;Q3;10;37;132;1988;100;132;0,73;53,73;59,77;0;9;United States;Northern America;"Cherkas Global University Press";"2016-2024";"Communication (Q3); Library and Information Sciences (Q3); Education (Q4)";"Social Sciences"
173;19700180555;"Vjesnik Bibliotekara Hrvatske";journal;"05071925, 13346938";"Hrvatsko Knjiznicarsko Drustvo";Yes;Yes;0,207;Q3;7;50;141;1106;42;125;0,27;22,12;86,96;0;14;Croatia;Eastern Europe;"Hrvatsko Knjiznicarsko Drustvo";"2009-2024";"Library and Information Sciences (Q3)";"Social Sciences"
174;21101175744;"Iberoamerican Journal of Science Measurement and Communication";journal;"27097595, 27093158";"Pro-Metrics";No;No;0,205;Q3;10;30;58;1312;84;54;1,42;43,73;33,33;0;14;Estonia;Eastern Europe;"Pro-Metrics";"2021-2025";"Communication (Q3); Library and Information Sciences (Q3); Media Technology (Q3); Social Sciences (miscellaneous) (Q3)";"Engineering; Social Sciences"
175;4700152746;"Music Reference Services Quarterly";journal;"10588167";"Routledge";No;No;0,203;Q3;11;13;37;46;10;24;0,41;3,54;55,56;0;0;United States;Northern America;"Routledge";"1992-1998, 2001-2002, 2004-2025";"Music (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
176;21100205109;"Scire";journal;"11353716";"Facultad de Filosofia y Letras - Universidad de Zaragoza";Yes;No;0,203;Q3;6;11;35;440;13;35;0,55;40,00;37,50;0;3;Spain;Western Europe;"Facultad de Filosofia y Letras - Universidad de Zaragoza";"2011-2024";"Communication (Q3); Library and Information Sciences (Q3)";"Social Sciences"
177;16611;"Serials Review";journal;"00987913";"Taylor and Francis Ltd.";No;No;0,199;Q3;27;14;98;343;59;90;0,69;24,50;42,50;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973, 1975-2025";"Library and Information Sciences (Q3)";"Social Sciences"
178;21101233761;"Desde el Sur";journal;"20762674, 24150959";"Universidad Cientifica del Sur";Yes;Yes;0,198;Q3;6;69;130;2145;61;120;0,38;31,09;40,45;0;19;Peru;Latin America;"Universidad Cientifica del Sur";"2021-2025";"Cultural Studies (Q2); Gender Studies (Q3); Library and Information Sciences (Q3); Sociology and Political Science (Q3); Education (Q4); Public Administration (Q4); Safety Research (Q4)";"Social Sciences"
179;21101047909;"Moderna Arhivistika";journal;"25910884";"Maribor Provincial Archives";No;No;0,196;Q3;2;25;85;606;11;85;0,13;24,24;48,57;0;5;Slovenia;Eastern Europe;"Maribor Provincial Archives";"2018-2024";"Library and Information Sciences (Q3); Public Administration (Q4)";"Social Sciences"
180;21100830763;"Journal of Information Science Theory and Practice";journal;"22879099, 22874577";"Korea Institute of Science and Technology Information";Yes;Yes;0,195;Q3;9;24;87;1116;72;87;0,83;46,50;48,08;0;7;South Korea;Asiatic Region;"Korea Institute of Science and Technology Information";"2017-2024";"Library and Information Sciences (Q3); Information Systems (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Social Sciences"
181;5800207822;"Terminology";journal;"15699994, 09299971";"John Benjamins Publishing Company";No;No;0,191;Q3;30;14;33;698;30;31;1,05;49,86;75,00;0;3;Netherlands;Western Europe;"John Benjamins Publishing Company";"1994-1998, 2000-2024";"Linguistics and Language (Q2); Communication (Q3); Library and Information Sciences (Q3)";"Social Sciences"
182;19700182410;"African Journal of Library Archives and Information Science";journal;"07954778";"Archlib and Information Services Ltd";No;No;0,190;Q3;15;17;52;649;33;51;0,62;38,18;41,94;0;3;Nigeria;Africa;"Archlib and Information Services Ltd";"2008-2012, 2014-2024";"Library and Information Sciences (Q3)";"Social Sciences"
183;21101030206;"Revista de Cancioneros Impresos y Manuscritos";journal;"22547444";"Universidad de Alicante";Yes;Yes;0,190;Q3;3;10;31;532;10;30;0,39;53,20;40,00;0;0;Spain;Western Europe;"Universidad de Alicante";"2017, 2019-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
184;21100200830;"International Journal of Information Science and Management";journal;"20088310, 20088302";"Regional Inform. Center for Sci. and Technol.";Yes;Yes;0,189;Q3;15;64;186;2568;146;186;0,81;40,13;44,29;0;16;Iran;Middle East;"Regional Inform. Center for Sci. and Technol.";"2008-2024";"Library and Information Sciences (Q3); Information Systems and Management (Q4); Management Information Systems (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
185;21101039156;"Encontros Bibli";journal;"15182924";"Universidade Federal de Santa Catarina";Yes;Yes;0,187;Q3;9;14;155;462;45;154;0,24;33,00;46,88;0;6;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2025";"Library and Information Sciences (Q3); Information Systems (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
186;21100898973;"Journal of Statistics Applications and Probability";journal;"20908423, 20908431";"Natural Sciences Publishing";No;No;0,187;Q3;15;112;304;3592;330;304;1,17;32,07;33,74;0;32;United States;Northern America;"Natural Sciences Publishing";"2018-2025";"Library and Information Sciences (Q3); Statistical and Nonlinear Physics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics; Physics and Astronomy; Social Sciences"
187;13399;"Law Library Journal";journal;"00239283";"American Association of Law Libraries";No;No;0,186;Q3;20;14;41;1466;12;41;0,32;104,71;68,42;0;3;United States;Northern America;"American Association of Law Libraries";"1978, 1987-2024";"Law (Q3); Library and Information Sciences (Q3)";"Social Sciences"
188;21101196739;"Acervo";journal;"22378723, 0102700X";"Arquivo Nacional";Yes;Yes;0,184;Q3;2;88;155;2987;8;136;0,04;33,94;41,75;0;12;Brazil;Latin America;"Arquivo Nacional";"2019-2025";"History (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
189;21100222537;"Intelligent Systems Reference Library";book series;"18684394, 18684408";"Springer Science + Business Media";No;No;0,181;Q3;42;166;828;6476;852;17;0,98;39,01;0,00;0;66;United States;Northern America;"Springer Science + Business Media";"2009-2024";"Library and Information Sciences (Q3); Computer Science (miscellaneous) (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Social Sciences"
190;14000156125;"Language Documentation and Conservation";journal;"19345275";"University of Hawaii Press";Yes;Yes;0,181;Q3;13;4;80;312;64;80;0,48;78,00;100,00;0;1;United States;Northern America;"University of Hawaii Press";"2016-2024";"Linguistics and Language (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
191;12100156499;"Notes";journal;"1534150X, 00274380";"Music Library Association";Yes;No;0,180;Q3;13;20;76;587;12;66;0,17;29,35;56,52;0;1;United States;Northern America;"Music Library Association";"2002-2024";"Music (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
192;300147004;"Journal of Educational Media and Library Sciences";journal;"1013090X";"Tamkang University";Yes;Yes;0,179;Q3;9;12;36;535;8;30;0,26;44,58;50,00;0;2;Taiwan;Asiatic Region;"Tamkang University";"2005-2024";"Archeology (arts and humanities) (Q2); Conservation (Q2); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
193;14066;"Library Trends";journal;"15590682, 00242594";"Johns Hopkins University Press";No;No;0,176;Q3;55;24;120;1048;74;107;0,46;43,67;77,14;0;12;United States;Northern America;"Johns Hopkins University Press";"1980-2024";"Library and Information Sciences (Q3)";"Social Sciences"
194;21100241782;"Ibersid";journal;"2174081X, 18880967";"Universidad de Zaragoza";No;Yes;0,174;Q3;6;22;54;716;12;54;0,26;32,55;54,72;0;9;Spain;Western Europe;"Universidad de Zaragoza";"2012-2024";"Communication (Q3); Library and Information Sciences (Q3); Computer Networks and Communications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
195;21100925733;"International Journal of Public Administration in the Digital Age";journal;"23344539, 23344520";"IGI Global Publishing";No;No;0,173;Q3;8;2;13;156;13;13;1,00;78,00;25,00;0;0;United States;Northern America;"IGI Global Publishing";"2019-2021, 2023-2024";"Library and Information Sciences (Q3); Computer Science Applications (Q4); Public Administration (Q4)";"Computer Science; Social Sciences"
196;4700152748;"Journal of Electronic Resources in Medical Libraries";journal;"15424065";"Routledge";No;No;0,173;Q3;17;12;51;166;24;47;0,50;13,83;57,14;0;1;United States;Northern America;"Routledge";"2003-2024";"Library and Information Sciences (Q3); Health (social science) (Q4)";"Social Sciences"
197;11700154713;"Perspectivas em Ciencia da Informacao";journal;"19815344, 14139936";"Escola de Ciencia da Informacao da UFMG";Yes;Yes;0,173;Q3;14;18;95;715;20;93;0,29;39,72;51,61;0;4;Brazil;Latin America;"Escola de Ciencia da Informacao da UFMG";"2008-2024";"Museology (Q2); Communication (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
198;21100936586;"Book History";journal;"10987371, 15291499";"Johns Hopkins University Press";No;No;0,172;Q3;5;16;49;761;24;42;0,28;47,56;62,50;0;2;United States;Northern America;"Johns Hopkins University Press";"2019-2024";"History (Q2); Conservation (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
199;21101076095;"Information and Media";journal;"27836207";"Vilnius University Press";Yes;Yes;0,172;Q3;6;18;51;892;25;51;0,50;49,56;54,55;0;7;Lithuania;Eastern Europe;"Vilnius University Press";"2021-2024";"Library and Information Sciences (Q3); Media Technology (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy; Social Sciences"
200;21100916534;"Journal of Library and Information Studies";journal;"16067509, 23099119";"National Taiwan University, Department of Library and Information Science";Yes;Yes;0,171;Q3;4;13;44;795;21;44;0,50;61,15;39,13;0;4;Taiwan;Asiatic Region;"National Taiwan University, Department of Library and Information Science";"2019-2024";"Library and Information Sciences (Q3)";"Social Sciences"
201;21100805799;"Boletim do Arquivo da Universidade de Coimbra";journal;"21827974, 08725632";"Imprensa da Universidade de Coimbra";Yes;Yes;0,170;Q3;3;17;56;684;9;52;0,14;40,24;47,37;0;1;Portugal;Western Europe;"Imprensa da Universidade de Coimbra";"2016-2024";"Conservation (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
202;21101186199;"Journal of Learning Spaces";journal;"21586195";"University of North Carolina at Greensboro";No;Yes;0,170;Q3;8;0;47;0;33;47;0,43;0,00;0,00;0;0;United States;Northern America;"University of North Carolina at Greensboro";"2019-2023";"Library and Information Sciences (Q3); Education (Q4); Public Administration (Q4)";"Social Sciences"
203;21101272842;"Scientometrics Research Journal";journal;"24235563, 24233773";"Shahed University";Yes;Yes;0,169;Q3;4;26;95;1144;35;92;0,41;44,00;45,45;0;18;Iran;Middle East;"Shahed University";"2021-2024";"Library and Information Sciences (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
204;19700202714;"Journal of Information and Organizational Sciences";journal;"18463312, 18469418";"University of Zagreb, Faculty of Organization and Informatics";Yes;Yes;0,168;Q3;17;26;83;985;79;76;0,94;37,88;42,22;0;8;Croatia;Eastern Europe;"University of Zagreb, Faculty of Organization and Informatics";"2006-2024";"Library and Information Sciences (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
205;21101061455;"Journal of Library and Information Science in Agriculture";journal;"10021248";"Chinese Academy of Agricultural Sciences";Yes;No;0,168;Q3;7;67;305;2444;105;305;0,40;36,48;45,33;0;32;China;Asiatic Region;"Chinese Academy of Agricultural Sciences";"2019-2024";"Library and Information Sciences (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Social Sciences"
206;23018;"Logos (The Netherlands)";journal;"18784712, 09579656";"Brill Academic Publishers";No;No;0,168;Q3;9;17;61;367;12;50;0,17;21,59;76,19;0;1;Netherlands;Western Europe;"Brill Academic Publishers";"1994, 1996-2024";"Literature and Literary Theory (Q1); Communication (Q3); Library and Information Sciences (Q3); Media Technology (Q3); Computer Science Applications (Q4); Education (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
207;21100901898;"Revista Digital de Biblioteconomia e Ciencia da Informacao";journal;"1678765X";"Universidade Estadual de Campinas";Yes;Yes;0,166;Q3;5;31;98;1112;35;96;0,41;35,87;62,96;0;9;Brazil;Latin America;"Universidade Estadual de Campinas";"2018-2025";"Library and Information Sciences (Q3); Education (Q4); Information Systems (Q4); Public Administration (Q4)";"Computer Science; Social Sciences"
208;19700182685;"Journal of Library Metadata";journal;"19375034, 19386389";"Taylor and Francis Ltd.";No;No;0,165;Q3;18;16;25;599;17;24;0,59;37,44;50,00;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2024";"Library and Information Sciences (Q3); E-learning (Q4)";"Social Sciences"
209;5800208091;"Information Design Journal";journal;"01425471";"John Benjamins Publishing Company";No;No;0,163;Q3;23;6;50;207;28;41;0,29;34,50;54,55;0;4;Netherlands;Western Europe;"John Benjamins Publishing Company";"1979-1984, 1986-1987, 1989-1991, 1993-1996, 1998, 2000-2011, 2013-2014, 2016-2019, 2021-2025";"Library and Information Sciences (Q3)";"Social Sciences"
210;21101197263;"Journal of Modern Information";journal;"10080821";"Editorial Board of Journal of Modern Information";No;No;0,161;Q3;9;169;573;6926;271;571;0,46;40,98;43,12;0;28;China;Asiatic Region;"Editorial Board of Journal of Modern Information";"2019-2025";"Library and Information Sciences (Q3)";"Social Sciences"
211;21101133572;"Atlanti+";journal;"26704560, 26704579";"International Institute for Archival Science Trieste - Maribor";No;No;0,159;Q3;2;14;36;260;4;32;0,17;18,57;26,67;0;2;Italy;Western Europe;"International Institute for Archival Science Trieste - Maribor";"2019-2024";"History (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
212;21101209993;"Revista Ibero-Americana de Ciencia da Informacao";journal;"19835213";"Universidade de Brasilia";Yes;Yes;0,157;Q3;3;37;148;906;30;140;0,17;24,49;66,67;1;8;Brazil;Latin America;"Universidade de Brasilia";"2020-2024";"Library and Information Sciences (Q3)";"Social Sciences"
213;21100888590;"Revista Interamericana de Bibliotecologia";journal;"25389866, 01200976";"Escuela Interamericana de Bibliotecologia";Yes;Yes;0,156;Q3;12;27;55;956;20;50;0,35;35,41;44,64;0;3;Colombia;Latin America;"Escuela Interamericana de Bibliotecologia";"2000-2025";"Library and Information Sciences (Q3)";"Social Sciences"
214;19700182724;"Revista General de Informacion y Documentacion";journal;"19882858, 11321873";"Universidad Complutense Madrid";Yes;Yes;0,155;Q3;10;28;86;903;34;86;0,23;32,25;53,33;15;8;Spain;Western Europe;"Universidad Complutense Madrid";"2009-2024";"Library and Information Sciences (Q3)";"Social Sciences"
215;21100226830;"BiD";journal;"15755886";"Universitat de Barcelona";Yes;Yes;0,154;Q3;8;15;79;468;20;71;0,29;31,20;40,00;0;1;Spain;Western Europe;"Universitat de Barcelona";"2012-2024";"Library and Information Sciences (Q3)";"Social Sciences"
216;19400156821;"Papers of the Bibliographical Society of America";journal;"23776528, 0006128X";"Bibliographical Society of America";No;No;0,154;Q3;8;13;47;222;8;35;0,19;17,08;30,00;0;0;United States;Northern America;"Bibliographical Society of America";"1941, 1947, 1969-1972, 1975, 1979, 1989, 1993, 1995-1996, 2004-2005, 2008-2024";"Literature and Literary Theory (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
217;21101030341;"Proceedings from the Document Academy";journal;"2473215X";"University of Akron";Yes;Yes;0,154;Q3;4;27;56;554;23;48;0,13;20,52;47,62;0;8;United States;Northern America;"University of Akron";"2019-2024";"Conservation (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
218;5900152801;"Art Documentation";journal;"21619417, 07307187";"University of Chicago Press";No;No;0,153;Q3;7;0;55;0;24;51;0,19;0,00;0,00;0;0;United States;Northern America;"University of Chicago Press";"2015-2023";"Visual Arts and Performing Arts (Q2); Archeology (arts and humanities) (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
219;21101102022;"Journal of Open Humanities Data";journal;"2059481X";"Ubiquity Press";Yes;No;0,152;Q3;4;58;62;1311;48;35;0,77;22,60;38,71;0;6;United Kingdom;Western Europe;"Ubiquity Press";"2019, 2022-2025";"Arts and Humanities (miscellaneous) (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
220;12810;"Journal of Information Ethics";journal;"10619321";"McFarland and Company, Inc";No;No;0,151;Q4;12;0;43;0;14;28;0,38;0,00;0,00;0;0;United States;Northern America;"McFarland and Company, Inc";"1992, 1994, 1996-2019, 2021-2023";"Philosophy (Q2); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
221;21100312401;"Revista Cubana de Informacion en Ciencias de la Salud";journal;"23072113";"Centro Nacional de Informacion de Ciencias Medicas";Yes;Yes;0,151;Q4;16;36;206;1140;64;180;0,32;31,67;47,52;0;13;Cuba;Latin America;"Centro Nacional de Informacion de Ciencias Medicas";"2013-2025";"Health Information Management (Q4); Health Policy (Q4); Library and Information Sciences (Q4)";"Health Professions; Medicine; Social Sciences"
222;21100900060;"Tekst, Kniga, Knigoizdaniye";journal;"23062061, 23113774";"Tomsk State University - Faculty of Philology";Yes;No;0,147;Q4;3;20;85;376;12;84;0,19;18,80;66,67;0;4;Russian Federation;Eastern Europe;"Tomsk State University - Faculty of Philology";"2018-2024";"Visual Arts and Performing Arts (Q2); Media Technology (Q3); Communication (Q4); Information Systems (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
223;21100936713;"Manuscript Studies";journal;"23801190, 23815329";"University of Pennsylvania Press";No;No;0,143;Q4;7;27;80;709;15;79;0,15;26,26;56,10;0;0;United States;Northern America;"University of Pennsylvania Press";"2016-2024";"Literature and Literary Theory (Q2); Conservation (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
224;21101192303;"Record and Library Journal";journal;"24425168";"Airlangga University Faculty of Vocational Studies";Yes;Yes;0,143;Q4;3;30;90;1023;16;90;0,22;34,10;49,15;0;9;Indonesia;Asiatic Region;"Airlangga University Faculty of Vocational Studies";"2019-2024";"Human Factors and Ergonomics (Q4); Library and Information Sciences (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Social Sciences"
225;21101241162;"Vjesnik Dalmatinskih Arhiva";journal;"27570932, 28068459";"State Archives in Sibenik";Yes;Yes;0,138;Q4;2;10;49;375;6;49;0,13;37,50;30,77;0;1;Croatia;Eastern Europe;"State Archives in Sibenik";"2020-2024";"History (Q2); Arts and Humanities (miscellaneous) (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
226;21101184587;"Folia Toruniensia";journal;"16413792, 26574837";"Provincial Public Library - The Copernicus Library in Torun";Yes;Yes;0,137;Q4;3;9;27;162;10;25;0,29;18,00;50,00;0;3;Poland;Eastern Europe;"Provincial Public Library - The Copernicus Library in Torun";"2019-2024";"Linguistics and Language (Q3); Library and Information Sciences (Q4)";"Social Sciences"
227;21100245913;"Bilgi Dunyasi";journal;"13023217";"University and Research Librarians Association, ankara";Yes;Yes;0,135;Q4;6;15;32;932;5;31;0,16;62,13;43,59;0;6;Turkey;Middle East;"University and Research Librarians Association, ankara";"2013-2024";"Library and Information Sciences (Q4)";"Social Sciences"
228;15135;"Information Services and Use";journal;"01675265, 18758789";"SAGE Publications Ltd";No;No;0,135;Q4;26;15;120;472;38;115;0,36;31,47;56,41;0;5;Netherlands;Western Europe;"SAGE Publications Ltd";"1981-2024";"Computer Science Applications (Q4); Information Systems (Q4); Library and Information Sciences (Q4)";"Computer Science; Social Sciences"
229;21101087367;"Journal of Payavard Salamat";journal;"17358132, 20082665";"Tehran University of Medical Sciences";Yes;Yes;0,135;Q4;5;24;151;841;33;147;0,20;35,04;45,16;0;8;Iran;Middle East;"Tehran University of Medical Sciences";"2019-2024";"Health Informatics (Q4); Health Professions (miscellaneous) (Q4); Library and Information Sciences (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Medicine; Social Sciences"
230;16096;"Notes and Queries";journal;"00293970, 14716941";"Oxford University Press";No;No;0,134;Q4;10;144;354;2949;25;138;0,08;20,48;29,55;0;0;United Kingdom;Western Europe;"Oxford University Press";"1849-2024";"Literature and Literary Theory (Q2); Linguistics and Language (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
231;21101114008;"Anuario Electronico de Estudios en Comunicacion Social Disertaciones";journal;"18569536";"Universidad del Rosario";Yes;Yes;0,133;Q4;4;46;75;1866;31;69;0,61;40,57;58,54;0;13;Colombia;Latin America;"Universidad del Rosario";"2019-2025";"Communication (Q4); Library and Information Sciences (Q4)";"Social Sciences"
232;21101046738;"New Directions in Book History";book series;"26346117, 26346125";"Palgrave Macmillan Ltd.";No;No;0,133;Q4;5;28;128;1644;7;1;0,06;58,71;0,00;0;3;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2014-2024";"Literature and Literary Theory (Q2); Linguistics and Language (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
