Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
35;21100788884;"International Journal of Multimedia Information Retrieval";journal;"21926611, 2192662X";"Springer London";No;No;0,882;Q1;33;41;105;2937;615;101;6,06;71,63;20,18;0;2;United Kingdom;Western Europe;"Springer London";"2012-2025";"Information Systems (Q1); Library and Information Sciences (Q1); Media Technology (Q1)";"Computer Science; Engineering; Social Sciences"
36;21100867250;"Journal of Open Research Software";journal;"20499647";"Ubiquity Press";Yes;No;0,875;Q1;17;15;60;282;341;60;1,12;18,80;30,43;0;4;United Kingdom;Western Europe;"Ubiquity Press";"2018-2025";"Information Systems (Q1); Library and Information Sciences (Q1); Software (Q2)";"Computer Science; Social Sciences"
37;19700201446;"New Review of Academic Librarianship";journal;"13614533, 17407834";"Taylor and Francis Ltd.";No;No;0,862;Q1;28;26;69;1211;202;59;3,07;46,58;70,00;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
38;145290;"Bottom Line";journal;"0888045X";"Emerald Group Publishing Ltd.";No;No;0,861;Q1;28;34;30;2771;267;28;8,55;81,50;25,00;0;26;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2025";"Business, Management and Accounting (miscellaneous) (Q1); Library and Information Sciences (Q1)";"Business, Management and Accounting; Social Sciences"
39;22894;"Research Evaluation";journal;"09582029, 14715449";"Oxford University Press";No;No;0,837;Q1;65;48;133;3225;423;130;2,22;67,19;44,35;6;11;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2025";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
40;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;0,827;Q1;62;60;161;2287;303;144;1,70;38,12;72,66;0;8;United States;Northern America;"Association of College and Research Libraries";"1946-1947, 1987-2025";"Library and Information Sciences (Q1)";"Social Sciences"
41;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";"Taylor and Francis Ltd.";No;No;0,822;Q1;56;94;203;7311;1194;194;6,01;77,78;40,86;0;26;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2025";"Library and Information Sciences (Q1); Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
42;30004;"Health Information and Libraries Journal";journal;"14711842, 14711834";"Wiley-Blackwell Publishing Ltd";No;No;0,790;Q1;53;59;125;2016;424;108;1,99;34,17;56,80;0;16;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2025";"Library and Information Sciences (Q1); Health Informatics (Q2); Health Information Management (Q2)";"Health Professions; Medicine; Social Sciences"
43;4700152804;"Internet Reference Services Quarterly";journal;"15404749, 10875301";"Routledge";No;No;0,790;Q1;23;28;41;639;159;36;5,03;22,82;64,71;1;5;United States;Northern America;"Routledge";"1996-2002, 2004-2018, 2020-2025";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
44;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;0,787;Q1;77;108;277;6498;938;277;3,33;60,17;53,16;0;23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
45;22510;"Learned Publishing";journal;"09531513, 17414857";"Wiley-Blackwell";No;No;0,765;Q1;47;52;226;1607;617;200;2,35;30,90;48,80;2;6;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
46;19700181431;"Journal of Decision Systems";journal;"21167052, 12460125";"Taylor and Francis Ltd.";No;No;0,761;Q1;37;100;113;6354;559;109;4,17;63,54;37,04;2;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Library and Information Sciences (Q1); Management Information Systems (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
47;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;0,730;Q1;45;38;71;1238;125;61;1,71;32,58;77,78;0;15;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2025";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
48;21100801725;"VINE Journal of Information and Knowledge Management Systems";journal;"20595905, 20595891";"Emerald Publishing";No;No;0,729;Q1;43;103;132;8454;739;129;5,29;82,08;34,55;0;33;United Kingdom;Western Europe;"Emerald Publishing";"2016-2025";"Library and Information Sciences (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
49;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;0,723;Q1;47;27;83;1272;164;71;1,90;47,11;69,57;0;9;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2024";"Library and Information Sciences (Q1)";"Social Sciences"
