journal,title,author,year,volume,issue,doi,abstract
American Archivist,The preservation of consular and diplomatic post records of the United States,Colket M.,1943,6,4,10.17723/aarc.6.4.814531u652m31086,
American Archivist,Archival terminology,Hill R.,1943,6,4,10.17723/aarc.6.4.q213j5n6k880672t,
American Archivist,"The Bureau of Navigation, 1862-1942",Beers H.,1943,6,4,10.17723/aarc.6.4.h18322070316m811,
American Archivist,"Papers, carbons, and ribbons",Keegan W.,1943,6,3,10.17723/aarc.6.3.v30622655g23nj4r,
American Archivist,Restoration methods,Barrow W.,1943,6,3,10.17723/aarc.6.3.497248722g4584rr,
American Archivist,Scheduling the disposition of records,Bahmer R.,1943,6,3,10.17723/aarc.6.3.e2457xl474772377,
American Archivist,Current aspects of records administration,Brooks P.,1943,6,3,10.17723/aarc.6.3.m22613816894k064,
American Archivist,The relationship between archival agencies and libraries,Church R.,1943,6,3,10.17723/aarc.6.3.411852t15205l467,
American Archivist,The control of records,McCormick W.,1943,6,3,10.17723/aarc.6.3.m247x416445q4v85,
American Archivist,The need for regional depositories for federal records,Morris R.B.,1943,6,2,10.17723/aarc.6.2.r022g2212264376t,
American Archivist,The interests of the states in federal field office records,McCain W.,1943,6,2,10.17723/aarc.6.2.g823q1732th83j28,
American Archivist,Army field records,Douglas J.,1943,6,2,10.17723/aarc.6.2.h2746u66m77h0615,
American Archivist,The problem of federal field office records,Holmes O.,1943,6,2,10.17723/aarc.6.2.g0x3k53g3m484758,
American Archivist,The sixth annual meeting of the Society of American Archivists,Burt H.,1943,6,1,10.17723/aarc.6.1.w67822314g550627,
American Archivist,The Ohio war history commission,Overman W.,1943,6,1,10.17723/aarc.6.1.n26788g851871kt6,
American Archivist,Adventures of an Amateur archivist,Connor R.D.W.,1943,6,1,10.17723/aarc.6.1.533587pmph1431l9,
American Archivist,Records administration in the Tennessee Valley Authority,Sterman C.,1944,7,4,10.17723/aarc.7.4.748hv1182u233513,
American Archivist,"Report on the destruction by the Germans, September 30, 1943, of the depository of priceless historical records of the Naples State Archives",Filangieri C.,1944,7,4,10.17723/aarc.7.4.y8g06m75585jp8r1,
American Archivist,Librarians and archivists-some aspects of their partnership,Kahn H.,1944,7,4,10.17723/aarc.7.4.708v211778347771,
American Archivist,A sketch of the interallied organizations of the first world war period and their records,Lokke C.,1944,7,4,10.17723/aarc.7.4.n075h48gx5005q72,
American Archivist,The disposal of useless state archives,Crittenden C.,1944,7,3,10.17723/aarc.7.3.k8382v6372q53jt8,
American Archivist,A note on the imperial record department,Sen S.,1944,7,3,10.17723/aarc.7.3.t75563mk87877455,
American Archivist,Highlights of the field records program of the Navy Department,Angel H.,1944,7,3,10.17723/aarc.7.3.457g6217641w2241,
American Archivist,Historical development of the records disposal policy of the federal government prior to 1934,Wells F.,1944,7,3,10.17723/aarc.7.3.l403805446475352,
American Archivist,Archives - What are they?,Hodnefield J.,1944,7,2,10.17723/aarc.7.2.130p1k338244m353,
American Archivist,Preserving Tar Heel war records,Crittenden C.,1944,7,2,10.17723/aarc.7.2.yn8vg88853161k82,
American Archivist,Can the war history projects contribute to the solution of federal records problems?,Setser V.,1944,7,2,10.17723/aarc.7.2.7051574v7m8l3334,
American Archivist,I've been working on the railroad,Brayer H.,1944,7,2,10.17723/aarc.7.2.g417j964231u6013,
American Archivist,The manuscript copying program in England,Power E.,1944,7,1,10.17723/aarc.7.1.c282357179n00444,
American Archivist,British archives and the war,Jenkinson H.,1944,7,1,10.17723/aarc.7.1.k6t126j728mh8405,
American Archivist,The seventh annual meeting of the society of American archivists,Franklin W.,1944,7,1,10.17723/aarc.7.1.u7x5776n2u7687rh,
American Archivist,The consolidation of files,Stark M.,1944,7,1,10.17723/aarc.7.1.vj65247022834514,
American Archivist,The British historical manuscripts commission,Beckham J.,1944,7,1,10.17723/aarc.7.1.m625418843u57265,
American Archivist,The war records program in Illinois,Erikson S.,1945,8,4,10.17723/aarc.8.4.x626w5557v55r42l,
American Archivist,"The navy's ""record"" in the Second World War",Leahy E.,1945,8,4,10.17723/aarc.8.4.m393q72883288620,
American Archivist,An archivist looks at the Library of Congress,Wood R.,1945,8,4,10.17723/aarc.8.4.e1j0v24811673ql2,
American Archivist,Early records of the War Department General Staff in National Archives,Bethel E.,1945,8,4,10.17723/aarc.8.4.e5n626qk730025p3,
American Archivist,War records in their relation to state and local archives,Crittenden C.,1945,8,4,10.17723/aarc.8.4.p2310252x2041k35,
American Archivist,Cataloguing and indexing motion picture film,Bradley J.,1945,8,3,10.17723/aarc.8.3.20806295161562w0,
American Archivist,The state archivist looks to the future,Crittenden C.,1945,8,3,10.17723/aarc.8.3.256l21007053w334,
American Archivist,How can we improve our historical societies?,Josephson B.,1945,8,3,10.17723/aarc.8.3.351383rx54q73u38,
